text,label
"I love this product, it is amazing",positive
"This is the worst thing I bought",negative
"It's okay, not bad",neutral
"Absolutely fantastic experience",positive
"I hate it so much",negative
"Nothing special, just normal",neutral
"Very good quality",positive
"Terrible and disappointing",negative
"Average product",neutral
"I am very happy with this purchase",positive
"This item exceeded my expectations",positive
"Excellent and reliable",positive
"Highly recommend this to everyone",positive
"Superb quality and fast delivery",positive
"I really liked it",positive
"This made my day better",positive
"Very satisfied with the service",positive
"Brilliant product and easy to use",positive
"It works perfectly",positive
"One of the best purchases I made",positive
"I regret buying this",negative
"Very poor quality",negative
"It broke after one day",negative
"Completely useless",negative
"Waste of money",negative
"Extremely bad experience",negative
"Not worth the price",negative
"I am disappointed",negative
"The quality is awful",negative
"I will never buy this again",negative
"It arrived damaged",negative
"Terrible support and bad packaging",negative
"It is fine",neutral
"Nothing unusual here",neutral
"It works as expected",neutral
"This is a standard product",neutral
"No strong opinion about it",neutral
"It is neither good nor bad",neutral
"Fair enough for the price",neutral
"Average experience overall",neutral
"The product is acceptable",neutral
"It does the job",neutral
"Pretty normal item",neutral
"Delivery was okay and the product was average",neutral
"I like the design and the performance",positive
"The packaging was beautiful and the item is great",positive
"I am impressed by the quality",positive
"Smooth experience from start to finish",positive
"This was better than expected",positive
"Bad smell and poor material",negative
"The product stopped working quickly",negative
"I did not like the texture",negative
"Customer service was terrible",negative
"The item feels cheap",negative
"It arrived on time and works normally",neutral
"The quality is decent, nothing more",neutral
"It is usable but not exciting",neutral
"Not amazing, not terrible",neutral
"The experience was ordinary",neutral












